Account ID,Account name,Instance ID,Finding reason(s),Instance name,Instance type,OS,Region,Total running hours,RI hours,On-Demand hours,Savings Plans hours,CPU utilization,Memory utilization,Disk utilization,EBS read (Ops/s),EBS write (Ops/s),EBS read throughput (KiB/s),EBS write throughput (KiB/s),Disk read (Ops/s),Disk write (Ops/s),Disk read throughput (KiB/s),Disk write throughput (KiB/s),Network in (KiB/s),Network out (KiB/s),Network packets in (Packets/s),Network packets out (Packets/s),Recommended action,Recommended instance type 1,Recommended instance type 1 Estimated savings,Recommended instance type 1 Projected CPU utilization,Recommended instance type 1 Projected memory utilization,Recommended instance type 1 Projected disk utilization,Recommended instance type 1 Platform difference(s),Recommended instance type 2,Recommended instance type 2 Estimated savings,Recommended instance type 2 Projected CPU utilization,Recommended instance type 2 Projected memory utilization,Recommended instance type 2 Projected disk utilization,Recommended instance type 2 Platform difference(s),Recommended instance type 3,Recommended instance type 3 Estimated savings,Recommended instance type 3 Projected CPU utilization,Recommended instance type 3 Projected memory utilization,Recommended instance type 3 Projected disk utilization,Recommended instance type 3 Platform difference(s)
XXXXXXXXXXXX,WA Cost Labs,i-010044,,Name-010044,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,2.786885246,,,0,1.133333333,0,14.07623047,,,,,,,,,Modify,t2.micro,7.44819,2.786885246,,,,t2.nano,11.23762,2.786885246,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010045,,Name-010045,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,1.355932203,,,0,0.913333333,0,12.71565104,,,,,,,,,Modify,t2.micro,7.44819,1.355932203,,,,t2.nano,11.23762,1.355932203,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010046,,Name-010046,t3a.small,Linux/UNIX,EU (Ireland),336,0,336,0,12.6670889,,,0.003333333,6.42,0.012715658,1054.318746,,,,,24.83514052,127.3293229,24.12622222,32.57394444,Modify,t3a.micro,6.66417,12.6670889,,,,t3a.nano,9.996255,12.6670889,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010047,,Name-010047,t3.medium,Red Hat Enterprise Linux,US East (N. Virginia),336,0,163,173,9.3,,,0,2.29,0,414.4589106,,,,,19.37282959,0.165370009,2.630777778,0.353555556,Modify,t3.small,6.592612619,9.3,,,,t3.micro,9.888918929,9.3,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010048,,Name-010048,t3.medium,Red Hat Enterprise Linux,US East (N. Virginia),336,0,163,173,26.64122265,,,0.613333333,24.40666667,10.2742513,5582.626661,,,,,145.0018967,1.005523546,4.820388889,3.1995,Modify,t3.small,6.592612619,26.64122265,,,,t3.micro,9.888918929,26.64122265,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010049,,Name-010049,t3.micro,Windows (Amazon VPC),US East (Ohio),336,0,336,0,8.423596067,,,81.18,42.41666667,1646.914482,3536.09403,,,,,0.122645399,0.356284451,0.115722222,0.128166667,Modify,t3.nano,6.40283,8.423596067,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010050,,Name-010050,t3.micro,Windows (Amazon VPC),US East (Ohio),336,0,336,0,10.30798973,,,47.81666667,14.82666667,690.4109319,2916.53951,,,,,75.30103651,3.133663194,10.25183333,0.652777778,Modify,t3.nano,6.40283,10.30798973,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010051,,Name-010051,t3.micro,Windows (Amazon VPC),US East (Ohio),336,0,336,0,10.00833333,,,135.8233333,42.95,2826.414108,3971.6959,,,,,0.14585178,0.399218207,0.167944444,0.180055556,Modify,t3.nano,6.40283,10.00833333,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010052,,Name-010052,t2.micro,Windows (Amazon VPC),Asia Pacific (Sydney),336,0,336,0,9.5,,,42.33,27.89,995.9348079,446.2687174,,,,,0.196910807,0.68548584,0.344555556,0.294111111,Modify,t2.nano,6.27216,9.5,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010053,,Name-010053,t2.micro,Windows (Amazon VPC),Asia Pacific (Sydney),336,0,336,0,9.666666667,,,32.08666667,28,859.7453451,421.0535677,,,,,0.176836209,0.451631131,0.306055556,0.276388889,Modify,t2.nano,6.27216,9.666666667,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010054,,Name-010054,t3a.small,Linux/UNIX,US West (Oregon),336,0,336,0,22.5,,,4.506666667,20.12666667,93.82883708,1278.13975,,,,,28.00139676,145.5372656,77.07944444,62.01566667,Modify,t3a.micro,6.14149,22.5,,,,t3a.nano,9.212235,22.5,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010055,,Name-010055,t3a.small,Linux/UNIX,US West (Oregon),336,0,336,0,8.625,,,0.513333333,4.6,9.14255778,684.1659546,,,,,8.655111762,0.020632595,1.205888889,0.056944444,Modify,t3a.micro,6.14149,8.625,,,,t3a.nano,9.212235,8.625,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010056,,Name-010056,t2.micro,Windows (Amazon VPC),US West (N. California),336,0,336,0,35.24590164,,,819.77,117.1666667,22129.72005,2771.639824,,,,,21.47560248,1.118592122,2.977666667,0.588777778,Modify,t2.nano,6.01082,35.24590164,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010057,,Name-010057,t2.micro,Windows (Amazon VPC),EU (Ireland),336,0,336,0,7.118644068,,,30.60333333,8.58,777.980485,295.5436719,,,,,0.006456434,0.002829861,0.005833333,0.006611111,Modify,t2.nano,5.61881,7.118644068,,,,,,,,,,,,,,,
