Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-011513,m5.xlarge,Red Hat Enterprise Linux,US East (Ohio),329,0,329, 21.00 ,,,Modify,m5.large, $68.62 , 42.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011572,c4.4xlarge,Linux/UNIX,EU (Ireland),0.11,0,0.11, 6.78 ,,,Modify,c4.2xlarge, $0.11 , 13.56 ,,,c4.xlarge, $0.16 , 27.13 ,,,c4.large, $0.19 , 54.25 ,,
836000000000,WA Cost Labs,i-011577,t3.small,Linux/UNIX,EU (Frankfurt),17.396944,0,17.396944, 36.00 ,,,Modify,t3.micro, $0.45 , 36.00 ,,,t3.nano, $0.68 , 36.00 ,,,,,,,
836000000000,WA Cost Labs,i-0116,m4.2xlarge,Red Hat Enterprise Linux,US West (N. California),330,0,330, 25.31 ,,,Modify,m4.xlarge, $217.96 , 50.63 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011660,c4.4xlarge,Linux/UNIX,EU (Ireland),0.105833,0,0.105833, 11.58 ,,,Modify,c4.2xlarge, $0.10 , 23.17 ,,,c4.xlarge, $0.16 , 46.33 ,,,,,,,
836000000000,WA Cost Labs,i-011700,r4.8xlarge,Linux/UNIX,US East (N. Virginia),330,330,0, 30.33 ,,,Modify,r4.4xlarge, $-   , 60.66 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-01172,c4.xlarge,Linux/UNIX,EU (London),0.124167,0,0.124167, 17.04 ,,,Modify,c4.large, $0.03 , 34.08 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011722,r4.2xlarge,Linux/UNIX,EU (London),330,330,0, 29.31 ,,,Modify,r4.xlarge, $-   , 58.63 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011843,t2.large,Windows (Amazon VPC),US East (N. Virginia),330,0,330, 35.08 ,,,Modify,t2.medium, $40.44 , 35.08 ,,,t2.small, $63.67 , 70.17 ,,,t2.micro, $74.99 , 70.17 ,,
836000000000,WA Cost Labs,i-01188,c5.xlarge,Linux/UNIX,US East (Ohio),330,0,330, 26.00 ,,,Modify,c5.large, $60.94 , 52.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012043,t1.micro,Linux/UNIX,US East (N. Virginia),0.28,0,0.28, 1.00 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012046,t3.small,Linux/UNIX,EU (Frankfurt),330,0,330, 2.00 ,,,Modify,t3.micro, $8.60 , 2.00 ,,,t3.nano, $12.91 , 2.00 ,,,,,,,
836000000000,WA Cost Labs,i-012075,m3.xlarge,Red Hat Enterprise Linux,US West (Oregon),101,0,101, 35.49 ,,,Modify,m3.large, $29.18 , 70.98 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012123,c4.4xlarge,Linux/UNIX,US East (N. Virginia),2.111667,0,2.111667, 21.28 ,,,Modify,c4.2xlarge, $1.83 , 42.56 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012155,c4.4xlarge,Linux/UNIX,US East (N. Virginia),0.091944,0,0.091944, 8.43 ,,,Modify,c4.2xlarge, $0.08 , 16.85 ,,,c4.xlarge, $0.12 , 33.71 ,,,c4.large, $0.14 , 67.42 ,,
836000000000,WA Cost Labs,i-012182,t3.micro,Linux/UNIX,US East (N. Virginia),330,330,0, -   ,,,Terminate,, $-   ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012227,t2.medium,Red Hat Enterprise Linux,EU (Ireland),329,0,329, 17.92 ,,,Modify,t2.small, $17.87 , 35.83 ,,,t2.micro, $26.73 , 35.83 ,,,,,,,
836000000000,WA Cost Labs,i-012254,t2.micro,Linux/UNIX,EU (Frankfurt),329,0,329, 9.67 ,,,Modify,t2.nano, $4.79 , 9.67 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012274,m5.4xlarge,Windows (Amazon VPC),EU (Ireland),130,0,130, 21.00 ,,,Modify,m5.2xlarge, $224.82 , 42.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012307,t2.medium,Linux/UNIX,US East (N. Virginia),329,289.765,39.235, 3.20 ,,,Modify,t2.small, $1.99 , 6.39 ,,,t2.micro, $2.97 , 6.39 ,,,t2.nano, $3.46 , 6.39 ,,
836000000000,WA Cost Labs,i-012326,m4.2xlarge,Linux/UNIX,EU (Frankfurt),330,329.75,0.25, 14.69 ,,,Modify,m4.xlarge, $0.13 , 29.38 ,,,m4.large, $0.20 , 58.75 ,,,,,,,
